seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_likelihood
0.512979101246322372E-01,0.971877576052494624E+04,0.850558579344224075E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.641474114973026643E+00,0.115328117071861903E-01,-0.218847842827080941E+01,0.550399272959557202E+05,0.553611480962263231E+05,0.556823568761182687E+05,0.560035674952752452E+05,0.563247835398496172E+05,0.196444505418637959E+04
0.485489472015788112E-01,0.170779610800719238E+05,0.748452086244525860E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.978985733824796700E+00,0.163494739237811416E-01,-0.145404045157029405E+01,0.550399328184146580E+05,0.553611441002175488E+05,0.556823543102998083E+05,0.560035645181196378E+05,0.563247814302656334E+05,0.196558581378066469E+04
0.465102210434934979E-01,0.366564336291740328E+05,0.573485072229078963E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.529399756216133333E+00,0.881784257262354793E-01,-0.194358539650074502E+01,0.550399302488328394E+05,0.553611395589202366E+05,0.556823546702187959E+05,0.560035667220635878E+05,0.563247839635968994E+05,0.196562124962711346E+04
0.452262187183852735E-01,0.646294698043264507E+05,0.151431626166544042E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.838536214159240512E+00,0.194335103890061117E+00,-0.142591745600101794E+01,0.550399259582939630E+05,0.553611406530165768E+05,0.556823559448910382E+05,0.560035682653033145E+05,0.563247797169540499E+05,0.196612630080183521E+04
0.459794941010360711E-01,0.675247477616130054E+05,0.229923685194043659E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.740004351098625529E-01,0.849028469509308215E+00,-0.184637705073995084E+01,0.550399298112510369E+05,0.553611432047434573E+05,0.556823580583338917E+05,0.560035683182990324E+05,0.563247778590974121E+05,0.196628581732391535E+04
0.450285412793524700E-01,0.614668655840785577E+05,0.273902176726160240E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.845091676491874888E+00,0.662179468566925916E-01,-0.176416148122008942E+01,0.550399264923417286E+05,0.553611436569592697E+05,0.556823589856598410E+05,0.560035685574063318E+05,0.563247786231795253E+05,0.196860886360710060E+04
0.457688948293358336E-01,0.394845257345175560E+05,0.514022726759778004E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.843418865511871285E+00,0.363155409056513945E+00,-0.138019862196452991E+01,0.550399267277959516E+05,0.553611448448008377E+05,0.556823583705033307E+05,0.560035657228916680E+05,0.563247797868028720E+05,0.196872107422814702E+04
0.492239358300420801E-01,0.258404304360081296E+05,0.706067385177471474E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.242688817344289792E+00,0.871313332536424068E+00,-0.171365557943196678E+01,0.550399297031745446E+05,0.553611405153930100E+05,0.556823534298760278E+05,0.560035674757247471E+05,0.563247826792666310E+05,0.196890628343752655E+04
0.447755150339999991E-01,0.713635591652756702E+05,0.124249578433152486E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.560115066772663317E+00,0.110370955260421844E+00,-0.195250137390416922E+01,0.550399293577539720E+05,0.553611447072077935E+05,0.556823569274882539E+05,0.560035683968903395E+05,0.563247824363074833E+05,0.196922381801926281E+04
0.514337199135893319E-01,0.114714399296653573E+05,0.836180662380494044E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.390537828495045536E+00,0.528199114473280051E+00,-0.175946242014668974E+01,0.550399309360325569E+05,0.553611441543220790E+05,0.556823547067254112E+05,0.560035677592620341E+05,0.563247831552382122E+05,0.196953953643435602E+04
