seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_likelihood
0.820448618146469855E-01,0.360153594737225502E+01,0.105513298648563558E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.400224189577330747E+00,0.231651506133737917E+00,0.550240175505808365E+05,0.551768618692383243E+05,0.553301415329953525E+05,0.557903402784133141E+05,0.559435690520534190E+05,0.560970074860930181E+05,0.564035957473286689E+05,0.499082130723631144E+04
0.160754735862858981E-01,0.922193322010061479E+03,0.310106793279378512E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.526003022703585232E+00,0.991892194267171123E+00,0.550243807185341648E+05,0.551768593159323354E+05,0.553302551130353240E+05,0.557902108069774331E+05,0.559434333217076346E+05,0.560970696632920590E+05,0.564036510013515508E+05,0.499148034372415896E+04
0.607875070636586190E+00,0.497725677736100902E+01,0.158528014532460215E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.776903026119093898E+00,0.528127047211789158E+00,0.550234126951830694E+05,0.551767756342918146E+05,0.553302533188502784E+05,0.557902661505677097E+05,0.559434956460443791E+05,0.560971066203527880E+05,0.564036047611759277E+05,0.499214528161320050E+04
0.157290322990082665E+00,0.219360432534782257E+01,0.113267831818984677E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.658874399174000036E+00,0.307632789696630993E+00,0.550236835120619653E+05,0.551768712649796216E+05,0.553302054331484833E+05,0.557902695145009202E+05,0.559436251010692868E+05,0.560969790024871327E+05,0.564035814652668487E+05,0.499239708471489303E+04
0.393626569568792994E+00,0.145375899988884179E+02,0.136683749275847388E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.790043128771662606E+00,0.237248816759869918E+00,0.550234570850873279E+05,0.551768018910921455E+05,0.553303133165508261E+05,0.557903140203924559E+05,0.559436042737611861E+05,0.560970505596015719E+05,0.564035500599245133E+05,0.499262784213309260E+04
0.728341255216140460E+00,0.985109191494424152E+01,0.170844966611533122E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.492604261353433215E+00,0.357670070089771475E+00,0.550228785312729233E+05,0.551767833924295919E+05,0.553301637138699880E+05,0.557902348252578522E+05,0.559434901094439629E+05,0.560970251170182455E+05,0.564036700701486552E+05,0.499269454221215801E+04
0.418030420881441933E+00,0.270278749859518008E+01,0.139715729824679080E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.529975234829779263E+00,0.894709371374692086E+00,0.550234476261564341E+05,0.551768306961386770E+05,0.553302737790484971E+05,0.557901837582172884E+05,0.559435667215558788E+05,0.560969752784285156E+05,0.564035262702196051E+05,0.499281651230947591E+04
0.775930872472317179E+00,0.576036021765685646E+01,0.175566481210269609E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.514232740874504324E+00,0.230006362594919883E-01,0.550236048499144308E+05,0.551768858779848888E+05,0.553303043226836890E+05,0.557901910550683242E+05,0.559436611543929102E+05,0.560970189187447177E+05,0.564036416979968926E+05,0.499333868273444114E+04
0.170712145508034527E-01,0.731864708500224083E+03,0.235346135639503094E-01,0.153356672000000003E+03,0.556368870880000031E+05,0.606926289862470436E+00,0.393706854729520495E+00,0.550235861233921241E+05,0.551767769746648191E+05,0.553302615017413918E+05,0.557902896786759884E+05,0.559436334880918512E+05,0.560970142658766272E+05,0.564037034664139355E+05,0.499340944988256160E+04
0.182169492633942783E-01,0.250616582837230368E+03,0.745092242815086903E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.585045975377977312E+00,0.738415491876732943E+00,0.550233759808388568E+05,0.551768838598234215E+05,0.553302212595872188E+05,0.557902891381305963E+05,0.559437560836417906E+05,0.560969378934318593E+05,0.564035883974322933E+05,0.499344507423177129E+04
