seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_likelihood
0.113296985334373369E-01,0.316402960682454157E+02,0.324248169945098086E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.602361227271467681E+00,0.893256057019792826E-01,0.553814629603202848E+05,0.452461828306816278E+04
0.109996535783000622E-01,0.355455272868340177E+01,0.783675704892100256E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.142414939184402761E+00,0.569831798382359755E+00,0.553821903847056601E+05,0.452619265216141048E+04
0.134007242068427974E-01,0.566585755822154837E+02,0.573261322082511127E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.268660881104319404E+00,0.555558056057451274E-01,0.553815736509394410E+05,0.452677384908119893E+04
0.153289974038511734E-01,0.105056295825031029E+03,0.464306886872023317E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.823327881992329397E-01,0.908108015822103765E+00,0.553816245767524306E+05,0.452717259071557874E+04
0.104308866804104557E-01,0.102848529644368352E+02,0.306513413281907232E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.922515311492034140E+00,0.988826956839168547E+00,0.553814853291921900E+05,0.452738220645373622E+04
0.167793340596446190E-01,0.341473569522418785E+02,0.718737750445803347E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.581245603903667196E+00,0.301939894526371155E+00,0.553816329487932671E+05,0.452765168988656478E+04
0.145619819553091286E-01,0.191383159264846050E+02,0.675656772119440308E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.896281374187347657E+00,0.718107547031101245E+00,0.553814753559926176E+05,0.452767152088338025E+04
0.113564412857787150E-01,0.233836028502244142E+01,0.676435491575755998E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.930852229958235577E+00,0.508453472787307792E+00,0.553819787039993680E+05,0.452810927347813958E+04
0.268690068307008978E-01,0.149921981308501429E+01,0.972091773679301885E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.884934871658149103E+00,0.866395475482733102E+00,0.553816194160250743E+05,0.452813075616427159E+04
0.113523789050146515E-01,0.514331049159132263E+02,0.380986116523903351E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.229186946909473915E+00,0.508778263019386223E+00,0.553818068357636439E+05,0.452835411740687687E+04
