seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_likelihood
0.221149027347564697E+00,0.896155550488208792E+04,0.119752514362335205E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.899367809295654297E+00,0.664746940135955811E+00,0.558830307748339692E+05,0.563669123922095896E+05,0.175338500070024679E+04
0.717362880706787109E+00,0.157714305906440700E+03,0.170383453369140625E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.826827704906463623E+00,0.300819218158721924E+00,0.558829766831419984E+05,0.563663482886062266E+05,0.175360294577914487E+04
0.355188786983489990E+00,0.950793824650340131E+06,0.133950090408325195E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.583586275577545166E+00,0.934244692325592041E+00,0.558823142952940980E+05,0.563655121802793146E+05,0.175423144646363244E+04
0.990737676620483398E-01,0.163885391581917284E+01,0.109284925460815430E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.114263713359832764E+00,0.942954361438751221E+00,0.558829041062615433E+05,0.563663248877034785E+05,0.175423797107230075E+04
0.304991006851196289E-02,0.214522335296751990E+05,0.313885569572448730E+00,0.241653652999999991E+03,0.561248147820000013E+05,0.350267112255096436E+00,0.158571302890777588E+00,0.558832713302395860E+05,0.563659469363198878E+05,0.175425140469677785E+04
0.201711714267730713E+00,0.422444688111211804E+02,0.119545841217041016E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.660137116909027100E+00,0.137796103954315186E+00,0.558832898836157838E+05,0.563662453630672098E+05,0.175431481739286073E+04
0.411546230316162109E-02,0.540173279409487714E+04,0.503782510757446289E+00,0.241653652999999991E+03,0.561248147820000013E+05,0.283604502677917480E+00,0.494299113750457764E+00,0.558824699724934617E+05,0.563672328090177180E+05,0.175433295379356900E+04
0.101575255393981934E-01,0.225488305240671143E+05,0.847071051597595215E+00,0.241653652999999991E+03,0.561248147820000013E+05,0.348263621330261230E+00,0.982874333858489990E+00,0.558825726479313889E+05,0.563670775521503092E+05,0.175437594169458612E+04
0.975600779056549072E+00,0.249180913353114447E+06,0.196544647216796875E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.211669325828552246E+00,0.541534900665283203E+00,0.558835269436858216E+05,0.563664819139943720E+05,0.175438666226380087E+04
0.715768337249755859E-02,0.932001003419999382E+06,0.741308569908142090E+00,0.241653652999999991E+03,0.561248147820000013E+05,0.584213137626647949E+00,0.650144994258880615E+00,0.558830424766562501E+05,0.563670432307229639E+05,0.175439077014013537E+04
0.530600547790527344E-03,0.933070451379069965E+02,0.681288599967956543E+00,0.241653652999999991E+03,0.561248147820000013E+05,0.155449926853179932E+00,0.787894606590270996E+00,0.558823500254176179E+05,0.563674457728372217E+05,0.175439456799197524E+04
