seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_tau7,seg0_likelihood
0.650920598844110937E-01,0.251595930887002028E+01,0.102853078552540622E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.823619940458553246E+00,0.402895785460805567E+00,0.549675859569712702E+05,0.552195502769691666E+05,0.554715347624067726E+05,0.555977500117350719E+05,0.558503648795012195E+05,0.559756185746168703E+05,0.562272110825996861E+05,0.563530025859336893E+05,0.507157173400522515E+04
0.156020093999299832E-01,0.528174530309928286E+03,0.281302733029299867E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.904549187026205570E+00,0.269003497612663900E+00,0.549676364263859286E+05,0.552196534384780462E+05,0.554721329403236523E+05,0.555975653269182367E+05,0.558499520619091782E+05,0.559755475851696465E+05,0.562274620606859826E+05,0.563529107373711449E+05,0.507321460481575559E+04
0.833589591743323255E+00,0.362734984498574331E+01,0.181238945134693963E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.713323789943736131E+00,0.260690725277256397E+00,0.549677409344793050E+05,0.552196265600929910E+05,0.554714456182066060E+05,0.555975587415002883E+05,0.558487549124346187E+05,0.559755872924514915E+05,0.562272269965546511E+05,0.563529893557189280E+05,0.507349078012356404E+04
0.812184769544310514E+00,0.658519021723994857E+01,0.179042084611863461E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.960090423897621559E+00,0.306215353478673902E+00,0.549676424417031521E+05,0.552194485713515678E+05,0.554713219157800122E+05,0.555976362518951282E+05,0.558495613403543539E+05,0.559752335251130935E+05,0.562271898186892577E+05,0.563530716771280495E+05,0.507364555298746200E+04
0.197145279335898781E-01,0.253685795591820877E+02,0.843494217043356254E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.782911343791480419E+00,0.836828874079765583E+00,0.549678546602419301E+05,0.552196629685909502E+05,0.554718350080474775E+05,0.555975408498442412E+05,0.558495109761210624E+05,0.559752039488166556E+05,0.562270427777194418E+05,0.563530759610252790E+05,0.507367570633578998E+04
0.187930395522380687E-01,0.254953014851968959E+03,0.640925581271246769E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.925638078688988397E+00,0.495811656454456129E+00,0.549677502265719813E+05,0.552196417481051176E+05,0.554720709494396506E+05,0.555973603686533097E+05,0.558487568216225845E+05,0.559752458109266809E+05,0.562272890794303603E+05,0.563531417761144112E+05,0.507393636023984436E+04
0.260917867778201806E+00,0.741240774821584036E+01,0.123744379207726829E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.561059900821686663E+00,0.395488681232514183E+00,0.549675804415389866E+05,0.552197392037868922E+05,0.554719959261340555E+05,0.555977984433503807E+05,0.558486687807219932E+05,0.559755076423989449E+05,0.562272288438380492E+05,0.563530470247359626E+05,0.507406511216664239E+04
0.117943598870833222E+00,0.579010516861161495E+01,0.109341816419476867E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.351113336951897337E+00,0.171471129049909243E+00,0.549676341437768642E+05,0.552196455776944931E+05,0.554720782806105271E+05,0.555977880760725820E+05,0.558501524408944751E+05,0.559755892488929021E+05,0.562273289416195912E+05,0.563541940875395303E+05,0.507419300691172793E+04
0.182428909249042731E+00,0.216317229654023713E+01,0.115686287683981104E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.615247743571694317E+00,0.712099136406696531E+00,0.549675561777514740E+05,0.552196785382833041E+05,0.554714739692363291E+05,0.555976119189922683E+05,0.558500080241497053E+05,0.559755893096548389E+05,0.562272431352429776E+05,0.563531643494465461E+05,0.507459650675387093E+04
0.556522802619418555E+00,0.360828225804436009E+01,0.153498196779424978E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.786083053677161470E+00,0.956745273904349269E+00,0.549676682405967586E+05,0.552196971025822349E+05,0.554720388617468197E+05,0.555976006811510815E+05,0.558501197708399850E+05,0.559753411359083839E+05,0.562273194037523572E+05,0.563540570654619441E+05,0.507483678923898333E+04
