seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_likelihood
0.137942484758320008E-01,0.104468928801363290E+03,0.712925015655796801E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.156192737903963097E+00,0.307259353133246593E+00,0.550904763459582900E+05,0.553759797749828431E+05,0.559448051709876527E+05,0.562297715735801248E+05,0.382489356803439068E+04
0.128539970773298040E+00,0.157493968962464170E+01,0.111403883703697026E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.115509389538892379E+00,0.810166779259549885E-01,0.550903353064945622E+05,0.553761073762052620E+05,0.559448436302753689E+05,0.562297187101686504E+05,0.382568514507441660E+04
0.270904103727636625E+00,0.152013880786346101E+01,0.124491208015222155E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.809830301512737605E+00,0.679276402851923811E+00,0.550916571913451698E+05,0.553759890372486771E+05,0.559449142817194443E+05,0.562297999349135134E+05,0.382610379255354064E+04
0.262647618023572671E+00,0.292727651497899588E+01,0.124425236063678635E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.659856439509052040E+00,0.732250324575519085E+00,0.550905325380352951E+05,0.553760544468564331E+05,0.559449908716181526E+05,0.562296485240051989E+05,0.382652314483891450E+04
0.174547529098622971E-01,0.141181185847815271E+03,0.802737909211670320E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.940895315497311646E+00,0.481922306575338688E+00,0.550904147199140643E+05,0.553760577161096226E+05,0.559448131177326140E+05,0.562296882839103928E+05,0.382678356004753778E+04
0.938338449033178312E+00,0.108626724439131195E+01,0.192786889726056221E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.161559441238287638E+00,0.338753421125713772E+00,0.550908959515113165E+05,0.553758946276694624E+05,0.559448790523534335E+05,0.562297634675377631E+05,0.382730919556941399E+04
0.688921926548492158E+00,0.297544638717806409E+01,0.167751466299994845E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.277981125003022134E+00,0.215279692472266082E+00,0.550916804141213433E+05,0.553759661081448430E+05,0.559450299759063782E+05,0.562297665531515813E+05,0.382736625062750181E+04
0.135143762644401970E-01,0.513107144792708027E+03,0.389095752147270879E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.212737898740031184E+00,0.340774805607674397E-01,0.550909392466328936E+05,0.553760934547403231E+05,0.559449305000477907E+05,0.562297840805554370E+05,0.382752788992650358E+04
0.150188753188788843E-01,0.278901768588791128E+03,0.512005020841625913E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.823825774344646988E+00,0.831371957421289248E-01,0.550908966449711443E+05,0.553760042445637810E+05,0.559451240895502051E+05,0.562297816260765976E+05,0.382754606065714370E+04
0.403247237015574633E+00,0.188953929712717317E+01,0.138531674613658184E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.592828976138449759E+00,0.920556807797052068E+00,0.550904553198382782E+05,0.553759416618088653E+05,0.559450584872102190E+05,0.562297547523199319E+05,0.382783846680191937E+04
0.162660449213611231E-01,0.401845551680047663E+03,0.390073830737435595E-01,0.284697260000000028E+03,0.556600816199999972E+05,0.822778846161700161E+00,0.101268015969132513E+00,0.550904400650495591E+05,0.553759745625867290E+05,0.559450484246433189E+05,0.562297159187999496E+05,0.382787466875964446E+04
0.889789262102141376E+00,0.160707202122556669E+01,0.187031608288571505E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.832796024334749641E+00,0.665798048754038474E+00,0.550906656126035668E+05,0.553759683593931113E+05,0.559450321721581859E+05,0.562298022988355151E+05,0.382797746643180790E+04
0.260970681259036774E+00,0.286849557482992878E+01,0.122312308472247522E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.947481673121592483E+00,0.879680416982749791E+00,0.550908772824688058E+05,0.553759889045511809E+05,0.559450346389664119E+05,0.562298025411206836E+05,0.382806544293327852E+04
0.570475241801113864E+00,0.163108626808491808E+01,0.155603825151635600E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.547683498945278013E+00,0.189515184325310032E+00,0.550908453140059937E+05,0.553759068790749880E+05,0.559449014844017656E+05,0.562298207244290170E+05,0.382811301447064716E+04
0.156662937482751868E+00,0.304257753580769119E+01,0.112772474319076466E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.729257374895290633E+00,0.779032868374070708E+00,0.550907099307345852E+05,0.553759770485121262E+05,0.559447990215263853E+05,0.562297476457604571E+05,0.382813100040391555E+04
0.653587426042812614E+00,0.101337576236450011E+01,0.163521332333551173E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.869835931073000501E+00,0.133484182467750040E+00,0.550905411853028563E+05,0.553759067972661142E+05,0.559449123771499435E+05,0.562297187799085295E+05,0.382813179639858618E+04
0.224295802752245504E+00,0.742973241471487444E+01,0.118208517851419037E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.952380696522476144E+00,0.978613334534961021E+00,0.550907346474363003E+05,0.553759423496120799E+05,0.559450711950829937E+05,0.562297402383729714E+05,0.382828605076001031E+04
0.364813075153666913E-01,0.141162632749083028E+01,0.101260155833477827E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.163662594963476238E+00,0.232154136834509833E+00,0.550908361243500913E+05,0.553761169071324621E+05,0.559449133923938934E+05,0.562296764877319874E+05,0.382829662462636725E+04
0.137953916144890418E-01,0.455756735956420414E+03,0.504391875114389432E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.339969411853491332E+00,0.779693457188315286E+00,0.550908569243383608E+05,0.553758385851169369E+05,0.559448667192476205E+05,0.562297316107194129E+05,0.382833836611574816E+04
0.142258597611157455E-01,0.357281810414069867E+03,0.597512512657773165E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.495646698896791527E+00,0.144414523776681875E+00,0.550905842398579480E+05,0.553761743074060432E+05,0.559449346070083702E+05,0.562297043650002233E+05,0.382836629258655967E+04
0.151778958902725469E-01,0.555261772588886856E+03,0.132231920268177622E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.707308352696684350E+00,0.412677217710911426E+00,0.550903897503102125E+05,0.553761066095900824E+05,0.559449439071031229E+05,0.562297756141501377E+05,0.382838009213800206E+04
0.242967784240644774E+00,0.163337378869187511E+01,0.122327758011846655E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.689417887902829318E+00,0.868182972708119394E+00,0.550908402941638487E+05,0.553761328926988426E+05,0.559449988832422969E+05,0.562297955430054280E+05,0.382863669668525790E+04
0.166349579216160670E-01,0.307037202021843484E+03,0.607700393736296807E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.919367615157116513E+00,0.270467069267949778E+00,0.550905554992451216E+05,0.553760440224544509E+05,0.559449862128821187E+05,0.562297732762059750E+05,0.382864118178206036E+04
0.900607312005132332E+00,0.199298903903459279E+01,0.188015562028380456E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.991488817200434025E+00,0.429658799956147419E+00,0.550909062901874640E+05,0.553759955292991654E+05,0.559449451860934641E+05,0.562298079907282445E+05,0.382865920563559803E+04
0.770983894870399866E+00,0.843367993973319230E+01,0.174775127561517363E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.902321944262628461E+00,0.774957178047454009E+00,0.550907444898370304E+05,0.553760880166038769E+05,0.559449179246573549E+05,0.562297690700481544E+05,0.382870334790054358E+04
0.153869702573389642E-01,0.298611346214683692E+03,0.350798110737165325E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.488426143427846904E+00,0.330663039745036968E+00,0.550908190466544329E+05,0.553759300106684459E+05,0.559450502869979027E+05,0.562298335892635005E+05,0.382872625698626734E+04
0.855396373158212459E-01,0.323037158471764752E+01,0.106410036343389680E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.281893432128343335E+00,0.612604349100462464E+00,0.550905613780366111E+05,0.553760666086805868E+05,0.559450042010698962E+05,0.562296640038818805E+05,0.382872751212322009E+04
0.137000304012995840E-01,0.229261476896158342E+03,0.196084966984272663E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.591162588933862421E+00,0.463912504577519813E+00,0.550909499060923044E+05,0.553760547900070014E+05,0.559450497103029556E+05,0.562298416586255407E+05,0.382875633492971383E+04
0.155350943012703205E-01,0.395365377413230988E+03,0.156972107986856124E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.672376181702174724E+00,0.180385789765863447E+00,0.550907711391004050E+05,0.553760355154441422E+05,0.559450424744493284E+05,0.562296845992730086E+05,0.382878244722436784E+04
0.507819901161953649E-01,0.234480198829570030E+01,0.102189233161651227E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.466860178705481854E+00,0.558073322616024561E-01,0.550904168944468038E+05,0.553760546728407280E+05,0.559449340860222364E+05,0.562297844760567241E+05,0.382879815188943348E+04
