seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_likelihood
0.663958489894866943E+00,0.257180424225006199E+02,0.165871119499206543E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.587143778800964355E+00,0.494370520114898682E+00,0.550420673560781506E+05,0.552796900375536425E+05,0.557509616525359597E+05,0.287512618118471755E+04
0.357693433761596680E-02,0.592470772991924477E+02,0.843749046325683594E+00,0.236097997999999990E+03,0.552791024980000002E+05,0.571923971176147461E+00,0.600651264190673828E+00,0.550428349898738888E+05,0.552800548089197619E+05,0.557514984554238763E+05,0.287565328115399416E+04
0.202466249465942383E-01,0.241908903314197050E+05,0.100432777404785156E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.118535935878753662E+00,0.277575612068176270E+00,0.550430714953823117E+05,0.552793774638823015E+05,0.557510038970895257E+05,0.287642884103004371E+04
0.858110189437866211E-02,0.242537344817606481E+04,0.992987275123596191E+00,0.236097997999999990E+03,0.552791024980000002E+05,0.216367661952972412E+00,0.593721866607666016E-01,0.550425237704200772E+05,0.552794765600613100E+05,0.557513534586616006E+05,0.287644497112964882E+04
0.184065103530883789E-02,0.637012855928035790E+02,0.576877355575561523E+00,0.236097997999999990E+03,0.552791024980000002E+05,0.473610103130340576E+00,0.731505095958709717E+00,0.550431899915618924E+05,0.552795112578323824E+05,0.557504574387259927E+05,0.287648023153159465E+04
0.261062383651733398E-02,0.405716326513280805E+02,0.833715558052062988E+00,0.236097997999999990E+03,0.552791024980000002E+05,0.930105149745941162E+00,0.892469882965087891E+00,0.550427708239240674E+05,0.552795927425077898E+05,0.557521611586995568E+05,0.287648130451646512E+04
0.183263897895812988E+00,0.212959558718738471E+02,0.118223452568054199E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.543781399726867676E+00,0.510648608207702637E+00,0.550429688771648434E+05,0.552797095428160173E+05,0.557522887189574685E+05,0.287648409072926461E+04
0.795765340328216553E+00,0.152974005536601180E+05,0.178356671333312988E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.517768442630767822E+00,0.217965543270111084E+00,0.550437143971605328E+05,0.552788075812509996E+05,0.557519697216935601E+05,0.287649667171229657E+04
0.355588436126708984E+00,0.815554985793041887E+01,0.135237407684326172E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.778322279453277588E+00,0.437280237674713135E+00,0.550440013246221570E+05,0.552791088532856447E+05,0.557509957891889062E+05,0.287650189697340647E+04
0.889267325401306152E-01,0.488069254013903555E+06,0.195731675624847412E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.786934971809387207E+00,0.910687506198883057E+00,0.550426968149824170E+05,0.552781653292826159E+05,0.557507196890302148E+05,0.287651566165886425E+04
0.721937179565429688E+00,0.251299592240186830E+05,0.192070090770721436E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.642035782337188721E+00,0.894607245922088623E+00,0.550438759513778714E+05,0.552786093915155870E+05,0.557515789987035241E+05,0.287651566165886425E+04
