seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_likelihood
0.694179654121398926E+00,0.233166100753777883E+01,0.167048764228820801E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.887713670730590820E+00,0.876092851161956787E+00,0.551961728635744512E+05,0.554864177395664956E+05,0.557782171055287545E+05,0.560688820428706749E+05,0.563596780842050575E+05,0.969745309352306140E+04
0.382213771343231201E+00,0.650956044986099223E+05,0.168424892425537109E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.505549311637878418E+00,0.867511510848999023E+00,0.551951759016231954E+05,0.554858794794642236E+05,0.557778890204638665E+05,0.560697685034133538E+05,0.563600598254903816E+05,0.969953511335038638E+04
0.372203528881072998E+00,0.912623700979797868E+05,0.198043990135192871E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.927476227283477783E+00,0.882241964340209961E+00,0.551954128099398076E+05,0.554864416207634713E+05,0.557783074804753487E+05,0.560700779250718697E+05,0.563595830982431435E+05,0.969953511335038638E+04
0.122865557670593262E+00,0.510552720929337234E+01,0.146182858943939209E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.935818135738372803E+00,0.452905237674713135E+00,0.551949969603733480E+05,0.554862720927559640E+05,0.557778088252753441E+05,0.560691818472005471E+05,0.563611474035486244E+05,0.969953511335038638E+04
0.366827666759490967E+00,0.559250059593881410E+01,0.177510154247283936E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.762643873691558838E+00,0.854727625846862793E+00,0.551954146014170110E+05,0.554862481852137353E+05,0.557782365653723900E+05,0.560697830296613320E+05,0.563601942888006233E+05,0.969953511335038638E+04
0.131847023963928223E+00,0.161695537479577167E+01,0.166724979877471924E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.476815462112426758E+00,0.983304560184478760E+00,0.551955939123348653E+05,0.554873111099564339E+05,0.557786084602088158E+05,0.560686024781324013E+05,0.563598339640602135E+05,0.969953511335038638E+04
0.292345464229583740E+00,0.592291747689728654E+05,0.140263533592224121E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.193908393383026123E+00,0.649187564849853516E+00,0.551955683872417867E+05,0.554866363856159951E+05,0.557774511845320885E+05,0.560686817231036766E+05,0.563613111031755470E+05,0.969953511335038638E+04
0.255055487155914307E+00,0.751188812228550606E+01,0.132796192169189453E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.842433691024780273E+00,0.756476283073425293E+00,0.551961555201725423E+05,0.554860099469982888E+05,0.557783769744843667E+05,0.560699748874761208E+05,0.563600383210882210E+05,0.969953511335038638E+04
0.478276729583740234E+00,0.925574692383866786E+05,0.169934439659118652E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.405383706092834473E+00,0.465789496898651123E+00,0.551962636053280294E+05,0.554858402568661477E+05,0.557785793141335671E+05,0.560687193887092217E+05,0.563598842392667793E+05,0.969953511335038638E+04
0.334778368473052979E+00,0.437711809320315623E+02,0.152380311489105225E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.650710344314575195E+00,0.510170757770538330E+00,0.551943974257425725E+05,0.554860653187596108E+05,0.557786744749755089E+05,0.560696227825738533E+05,0.563596296184762978E+05,0.969953511335038638E+04
0.100416123867034912E+00,0.755550873366736226E+02,0.132808005809783936E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.589859187602996826E+00,0.628302454948425293E+00,0.551955882503704488E+05,0.554864659762942101E+05,0.557770339848012154E+05,0.560684236088849648E+05,0.563596287064060234E+05,0.969953511335038638E+04
0.122117102146148682E+00,0.164046741552944098E+01,0.154685211181640625E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.913097202777862549E+00,0.251864373683929443E+00,0.551948305827097356E+05,0.554872075868212487E+05,0.557784693625182335E+05,0.560688010835506066E+05,0.563602224648698830E+05,0.969953511335038638E+04
0.348357379436492920E+00,0.421448058653369007E+01,0.183078861236572266E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.379968285560607910E-01,0.111941874027252197E+00,0.551959604329780996E+05,0.554865064027869012E+05,0.557782751643866723E+05,0.560693039795018776E+05,0.563602662171825432E+05,0.969953511335038638E+04
0.191111683845520020E+00,0.562863602297819909E+02,0.124280822277069092E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.228880345821380615E+00,0.722788393497467041E+00,0.551959794664101064E+05,0.554866374852024819E+05,0.557778024662942116E+05,0.560687780988074883E+05,0.563600261816486382E+05,0.969953511335038638E+04
0.474013864994049072E+00,0.274230851410086052E+04,0.186914503574371338E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.434644639492034912E+00,0.368902444839477539E+00,0.551955233565287053E+05,0.554869523380362298E+05,0.557784015083522027E+05,0.560699516848184212E+05,0.563610292329296135E+05,0.969953511335038638E+04
0.139842629432678223E-01,0.173451976719429280E+06,0.189716029167175293E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.150068640708923340E+00,0.272599577903747559E+00,0.551960684946493566E+05,0.554875249531828667E+05,0.557771202450007622E+05,0.560691053640700920E+05,0.563609016785129570E+05,0.969953511335038638E+04
0.373705685138702393E+00,0.121990464191784326E+06,0.187059152126312256E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.581459820270538330E+00,0.674954712390899658E+00,0.551960048695520818E+05,0.554870475751721169E+05,0.557769743555993264E+05,0.560682956142284020E+05,0.563597113297685646E+05,0.969953511335038638E+04
0.909950137138366699E-01,0.666721117447313727E+01,0.113426554203033447E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.637475907802581787E+00,0.256623089313507080E+00,0.551953212729410589E+05,0.554866357070767190E+05,0.557775524727315133E+05,0.560700674458600624E+05,0.563603036181434654E+05,0.969953511335038638E+04
0.146935999393463135E+00,0.151337412167960774E+05,0.130904304981231689E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.831801474094390869E+00,0.175482869148254395E+00,0.551943825822786748E+05,0.554869071275555398E+05,0.557769503426760857E+05,0.560685508026935204E+05,0.563609105097755455E+05,0.969953511335038638E+04
0.669246912002563477E-01,0.145335914181855187E+06,0.110609698295593262E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.684283435344696045E+00,0.492360234260559082E+00,0.551949416264013707E+05,0.554869169452749993E+05,0.557773587943524544E+05,0.560688618113853081E+05,0.563613823828205132E+05,0.969953511335038638E+04
0.633365571498870850E+00,0.406314462325466863E+02,0.168855309486389160E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.160294473171234131E+00,0.817012608051300049E+00,0.551954300394968450E+05,0.554871370341145303E+05,0.557785282309264367E+05,0.560688957704164131E+05,0.563598956279262566E+05,0.969953511335038638E+04
0.893470048904418945E-01,0.546402537705421764E+04,0.174950897693634033E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.450268328189849854E+00,0.984807908535003662E+00,0.551959445230678975E+05,0.554863148350083138E+05,0.557777110146493142E+05,0.560701699616767510E+05,0.563596655303939842E+05,0.969953511335038638E+04
0.109166026115417480E+00,0.382230290851298332E+04,0.138180541992187500E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.432871758937835693E+00,0.265176355838775635E+00,0.551961232236341893E+05,0.554869633049332406E+05,0.557781968809575264E+05,0.560699144693471535E+05,0.563605282659038567E+05,0.969953511335038638E+04
0.709874093532562256E+00,0.833385587266856298E+01,0.179304170608520508E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.630115270614624023E-01,0.587551474571228027E+00,0.551953007967190206E+05,0.554859661442600991E+05,0.557774738139123147E+05,0.560693385782100304E+05,0.563610598405107521E+05,0.969953511335038638E+04
0.316634178161621094E+00,0.313976469257220424E+04,0.171137416362762451E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.957908987998962402E+00,0.332055449485778809E+00,0.551946682622150838E+05,0.554864899511896874E+05,0.557778730386704628E+05,0.560692035047866448E+05,0.563607633709415459E+05,0.969953511335038638E+04
0.437092363834381104E+00,0.391076886410843372E+04,0.184126460552215576E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.483170330524444580E+00,0.559033453464508057E+00,0.551962822226004064E+05,0.554873564262949731E+05,0.557774687534779732E+05,0.560691900457002266E+05,0.563602431557878517E+05,0.969953511335038638E+04
0.471668601036071777E+00,0.242969728218718384E+01,0.162085771560668945E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.582819819450378418E+00,0.968730270862579346E+00,0.551955675964073598E+05,0.554869726629816796E+05,0.557769857764453118E+05,0.560695443183042153E+05,0.563611740338310265E+05,0.969953511335038638E+04
0.256383955478668213E+00,0.587653771389464149E+06,0.178044211864471436E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.326205074787139893E+00,0.539908885955810547E+00,0.551951723059133947E+05,0.554856342044436242E+05,0.557782726743430321E+05,0.560696816208221062E+05,0.563599593511327766E+05,0.969953511335038638E+04
0.192314684391021729E+00,0.352589765439693092E+01,0.171042954921722412E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.436120033264160156E+00,0.609213173389434814E+00,0.551949451040939748E+05,0.554857468207442071E+05,0.557775908206910317E+05,0.560691146399833306E+05,0.563607722893461250E+05,0.969953511335038638E+04
